ID,CFR_prediction,gold,rawLevenshteinED,phonemewiseLevenshteinED,featureED,pred_phone_length,gold_phone_length
0.card,*/œ̃/,/œ̃/,0,0.0,0.0,1,1
nothing.card,*/yn̪/,/yn̪/,0,0.0,0.0,2,2
1.m.card,*/œ̃/,/œ̃/,0,0.0,0.0,1,1
1.f.card,*/yn̪/,/yn̪/,0,0.0,0.0,2,2
1.m.article.card,*/pʁɛ̃/,/pʁəmje/,4,0.6666666666666666,1.3269230769230769,3,6
1.f.article.card,*/pʁimje/,/pʁəmje/,1,0.16666666666666666,0.09615384615384616,6,6
1.ord,*/sɑ̃pl/,/sˈɛ̃pl/,1,0.25,0.23076923076923078,4,4
1.ord.agent,*/ɑ̃t̪je/,/ɑ̃t̪je/,0,0.0,0.0,4,4
1.instr,*/d̪ø/,/d̪ø/,0,0.0,0.0,2,2
2.m.nom.card,*/sɔ̃/,/d̪øzjɛm/,6,1.0,2.6153846153846154,2,6
2.m.acc.card,*/səkɔ̃/,/səɡɔ̃t̪/,2,0.4,0.7692307692307693,4,5
2.f.nom.card,*/d̪ubl/,/d̪ubl/,0,0.0,0.0,4,4
2.f.acc.card,*/d̪əmi/,/d̪əmi/,0,0.0,0.0,4,4
2.ord,*/mwat̪e/,/mwat̪je/,1,0.16666666666666666,0.4807692307692308,5,6
2.ord,*/t̪ʁwa/,/t̪ʁwa/,0,0.0,0.0,4,4
2.distr,*/t̪jɛʁ/,/t̪ʁwazjɛm/,5,0.625,2.4423076923076925,4,8
2.fract,*/t̪ʁɛbl/,/t̪ʁipl/,2,0.4,0.11538461538461539,5,5
2.fract.agent,*/t̪ʁɑ̃/,/t̪jɛʁ/,3,0.75,0.9807692307692307,3,4
3.acc.card,*/t̪ɛʁse/,/t̪jɛʁ/,3,0.75,1.2692307692307692,5,4
3.nom.card,*/kat̪ʁ/,/kat̪ʁ/,0,0.0,0.0,4,4
3.nom.card,*/kaʁ/,/kat̪ʁijɛm/,5,0.625,2.4423076923076925,3,8
3.ord,*/kaʁubl/,/kwad̪ʁypl/,4,0.5,1.3269230769230769,6,8
3.instr,*/kɛʁ/,/kwad̪ʁypl/,6,0.75,3.423076923076923,3,8
3.distr,*/kaʁɑ̃/,/kˈaʁ/,2,0.6666666666666666,0.7115384615384616,4,3
3.fract,*/kaʁt̪je/,/kaʁt̪je/,0,0.0,0.0,6,6
3.fract.agent,*/sɛ̃k/,/sɛ̃k/,0,0.0,0.0,3,3
4.card,*/kɛ̃/,/sɛ̃kjɛm/,5,0.8333333333333334,2.480769230769231,2,6
4.ord,*/kin̪e/,/sɛ̃kjɛm/,5,0.8333333333333334,1.8461538461538463,4,6
4.instr,*/sis/,/sis/,0,0.0,0.0,3,3
4.distr,*/sɛt̪/,/sizjɛm/,4,0.6666666666666666,1.8076923076923077,3,6
4.fract,*/sɛt̪je/,/sizjɛm/,4,0.6666666666666666,0.9423076923076923,5,6
4.fract.agent,*/sɛ/,/sɛt̪/,1,0.3333333333333333,0.6153846153846154,2,3
5.card,*/sɛm/,/sɛt̪jˈɛm/,3,0.5,1.7307692307692308,3,6
5.ord,*/sət̪ɛ̃/,/sɛt̪jˈɛm/,4,0.6666666666666666,1.2692307692307692,4,6
5.fract.agent,*/ɥit̪/,/ɥit̪/,0,0.0,0.0,3,3
6.card,*/ɥitu/,/ɥit̪jɛm/,4,0.6666666666666666,1.3269230769230769,4,6
6.ord,*/ɥit̪ɑ̃/,/ɥit̪jɛm/,3,0.5,1.25,4,6
