ID,CFR_prediction,gold,rawLevenshteinED,phonemewiseLevenshteinED,featureED,pred_phone_length,gold_phone_length
0,*/ˈun/,/ˈunu/,1,0.3333333333333333,0.8076923076923077,2,3
nothing,*/ˈunə/,/ˈuna/,1,0.3333333333333333,0.09615384615384616,3,3
1.m.numeral.card,*/un/,/un/,0,0.0,0.0,2,2
1.f.numeral.card,*/unə/,/o/,3,3.0,1.1730769230769231,3,1
1.masc.article.card,*/prˈim/,/prˈim/,0,0.0,0.0,4,4
1.fem.article.card,*/premˈar/,/primˈar/,1,0.16666666666666666,0.038461538461538464,6,6
1.ord,*/sˈinɡur/,/sˈinɡur/,0,0.0,0.0,6,6
1.ord.agent,*/sˈimplu/,/sˈimplu/,0,0.0,0.0,6,6
1.adv,*/ˈin̪t̪reɡ/,/ɨntrˈeɡ/,4,0.6666666666666666,0.2692307692307692,6,6
1.distr,*/dbˈoj/,/dˈoj/,1,0.3333333333333333,0.40384615384615385,4,3
1.instr,*/dˈaj/,/dˈowə/,3,0.75,0.7307692307692307,3,4
1.fract,*/sekˈund/,/dˈojlea̯/,6,1.0,1.6923076923076923,6,6
2.m.card,*/dˈuplu/,/ˌɨndˈojt/,6,1.0,2.076923076923077,5,6
2.f.card,*/demjˈez/,/doˈime/,5,1.0,1.4038461538461537,6,5
2.ord,*/med͡ʒetˈate/,/ʒumətˈate/,4,0.5,0.8846153846153846,8,8
2.instr,*/trˈej/,/trˈej/,0,0.0,0.0,4,4
2.fract,*/t͡sˈert͡s/,/trˈejle̯a/,6,0.8571428571428571,1.6923076923076923,4,7
2.loc,*/trˈeplu/,/ɨntrˈejt/,5,0.7142857142857143,2.1538461538461537,6,7
3.card,*/trˈinte/,/treˈime/,3,0.5,0.7307692307692307,6,6
3.ord,*/trintˈar/,/treˈime/,5,0.8333333333333334,1.3846153846153846,7,6
3.instr,*/pˈatru/,/pˈatru/,0,0.0,0.0,5,5
3.fract,*/kˈart/,/pˈatrulea̯/,6,0.75,2.5576923076923075,4,8
3.fract.agent,*/pərˈɨnte/,/pətrˈime/,4,0.5714285714285714,1.0192307692307692,7,7
4.card,*/kɨrtˈar/,/pətrˈar/,4,0.6666666666666666,0.4807692307692308,6,6
4.ord,*/t͡ʃˈint͡ʃe/,/t͡ʃˈint͡ʃj/,1,0.2,0.11538461538461539,5,5
4.fract,*/t͡ʃˈint/,/t͡ʃˈint͡ʃilea̯/,5,0.625,2.4423076923076925,4,8
4.fract.agent,*/t͡ʃinˈar/,/t͡ʃint͡ʃˈime/,4,0.5714285714285714,1.5,5,7
5.card,*/ʃˈep/,/ʃˈase/,3,0.75,0.8846153846153846,3,4
5.ord,*/ʃˈest/,/ʃˈaselea̯/,5,0.7142857142857143,1.75,4,7
5.fract.agent,*/sestˈar/,/ʃesˈime/,4,0.6666666666666666,1.1538461538461537,6,6
6.card,*/ʃˈapte/,/ʃˈapte/,0,0.0,0.0,5,5
6.ord,*/ʃˈaptim/,/ʃˈaptelea̯/,4,0.5,1.0576923076923077,6,8
6.fract.agent,*/ˈopt/,/ˈopt/,0,0.0,0.0,3,3
7.card,*/optˈaw/,/ˈoptulea̯/,5,0.7142857142857143,1.5769230769230769,5,7
7.ord,*/nˈow/,/nˈowə/,1,0.25,0.46153846153846156,3,4
8.card,*/nˈun/,/nˈowəlea̯/,6,0.8571428571428571,1.8269230769230769,3,7
8.ord,*/zˈet͡ʃe/,/zˈet͡ʃe/,0,0.0,0.0,4,4
9.card,*/zˈet͡ʃim/,/zˈet͡ʃelea̯/,4,0.5714285714285714,1.0576923076923077,5,7
9.ord,*/dənˈar/,/zet͡ʃˈime/,6,1.0,1.25,5,6
10.card,*/ˈundet͡ʃj/,/ˈunsprezet͡ʃe/,6,0.6,2.0961538461538463,6,10
10.ord,*/dbo̯ˈadet͡ʃj/,/dˈojsprezet͡ʃe/,8,0.7272727272727273,2.326923076923077,8,11
